president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,3/16/20,43.855668,47.988492,39.722844,52.44601,56.127214,48.764806,3/16/20 18:18
Donald Trump,All polls,3/16/20,42.720596,47.114091,38.327102,53.138875,56.918003,49.359748,3/16/20 18:16
Donald Trump,All polls,3/15/20,42.613403,47.043484,38.183322,53.090293,56.999509,49.181076,3/15/20 9:06
Donald Trump,Voters,3/15/20,43.699202,47.915298,39.483106,52.350399,56.159362,48.541436,3/15/20 9:11
Donald Trump,Adults,3/15/20,41.706265,45.338979,38.073552,53.407293,57.514387,49.300199,3/15/20 9:09
Donald Trump,All polls,3/14/20,42.287014,46.770327,37.8037,53.232598,57.219691,49.245505,3/15/20 9:08
Donald Trump,Adults,3/14/20,41.706265,45.33899,38.07354,53.407293,57.514377,49.300209,3/15/20 9:10
Donald Trump,Voters,3/14/20,43.348265,47.682491,39.014038,52.652942,56.514916,48.790968,3/15/20 9:13
Donald Trump,Adults,3/13/20,41.706265,45.338979,38.073552,53.407293,57.514376,49.30021,3/13/20 15:43
Donald Trump,Voters,3/13/20,43.348265,47.682492,39.014038,52.652942,56.514916,48.790968,3/13/20 15:44
Donald Trump,All polls,3/13/20,42.287014,46.77033,37.803697,53.232598,57.219694,49.245502,3/13/20 15:42
Donald Trump,Voters,3/12/20,43.264426,47.517777,39.011074,52.706389,56.557767,48.855011,3/12/20 16:59
Donald Trump,Adults,3/12/20,41.851013,45.435107,38.266919,53.233543,57.289662,49.177423,3/12/20 16:58
Donald Trump,All polls,3/12/20,42.337865,46.690645,37.985084,53.156131,57.114247,49.198014,3/12/20 16:57
Donald Trump,Voters,3/11/20,43.243008,47.454412,39.031604,52.786369,56.583863,48.988874,3/11/20 19:42
Donald Trump,Adults,3/11/20,41.873565,45.458808,38.288322,53.246121,57.248596,49.243646,3/11/20 19:41
Donald Trump,All polls,3/11/20,42.327323,46.633631,38.021014,53.248387,57.176321,49.320452,3/11/20 19:40
Donald Trump,Voters,3/10/20,43.615096,47.957914,39.272278,52.728709,56.729668,48.72775,3/10/20 15:37
Donald Trump,Adults,3/10/20,42.103436,45.740905,38.465967,53.180746,57.116253,49.245239,3/10/20 15:36
Donald Trump,All polls,3/10/20,42.696669,47.07567,38.317668,53.069916,57.027155,49.112677,3/10/20 15:35
Donald Trump,Adults,3/9/20,42.164667,45.856583,38.472752,53.136179,57.129814,49.142544,3/9/20 23:08
Donald Trump,Voters,3/9/20,43.648825,47.998649,39.299001,52.740924,56.793635,48.688212,3/9/20 23:09
Donald Trump,All polls,3/9/20,42.79497,47.155744,38.434195,53.033232,57.042742,49.023723,3/9/20 23:07
Donald Trump,Voters,3/8/20,43.325293,47.809233,38.841352,53.030179,57.504086,48.556272,3/9/20 9:47
Donald Trump,All polls,3/8/20,42.759827,47.329717,38.189937,52.995391,57.32278,48.668002,3/9/20 9:39
Donald Trump,Adults,3/8/20,41.915659,45.766555,38.064763,53.164789,57.392771,48.936808,3/9/20 9:43
Donald Trump,Adults,3/7/20,41.915659,45.76658,38.064738,53.164789,57.392777,48.936802,3/9/20 9:44
Donald Trump,All polls,3/7/20,42.759827,47.329722,38.189931,52.995391,57.32278,48.668002,3/9/20 9:42
Donald Trump,Voters,3/7/20,43.325293,47.809236,38.84135,53.030179,57.504086,48.556272,3/9/20 9:48
Donald Trump,Voters,3/6/20,43.325293,47.809236,38.84135,53.030179,57.504086,48.556272,3/6/20 15:05
Donald Trump,Adults,3/6/20,41.915659,45.766576,38.064743,53.164789,57.392782,48.936796,3/6/20 15:04
Donald Trump,All polls,3/6/20,42.759827,47.329707,38.189946,52.995391,57.322784,48.667999,3/6/20 15:03
Donald Trump,Voters,3/5/20,43.439084,47.95336,38.924808,52.878107,57.361916,48.394299,3/5/20 16:49
Donald Trump,Adults,3/5/20,41.950918,45.789781,38.112055,53.138018,57.339622,48.936413,3/5/20 16:48
Donald Trump,All polls,3/5/20,42.85326,47.443586,38.262935,52.868294,57.188355,48.548233,3/5/20 16:47
Donald Trump,Voters,3/4/20,43.830943,48.344926,39.31696,52.462662,57.102826,47.822498,3/4/20 15:21
Donald Trump,Adults,3/4/20,41.869315,45.711976,38.026655,53.042271,57.324208,48.760334,3/4/20 15:20
Donald Trump,All polls,3/4/20,43.198134,47.85728,38.538987,52.419232,56.833472,48.004993,3/4/20 15:19
Donald Trump,Voters,3/3/20,43.757786,48.307913,39.207659,52.716857,57.365824,48.067889,3/3/20 17:17
Donald Trump,Adults,3/3/20,41.90245,45.823389,37.981512,53.296993,57.460436,49.13355,3/3/20 17:16
Donald Trump,All polls,3/3/20,43.256935,47.909427,38.604443,52.673889,57.051574,48.296204,3/3/20 17:15
Donald Trump,Adults,3/2/20,41.470269,45.285696,37.654842,53.507357,57.950925,49.06379,3/2/20 13:41
Donald Trump,Voters,3/2/20,43.730251,48.279658,39.180844,52.792261,57.449538,48.134984,3/2/20 13:42
Donald Trump,All polls,3/2/20,43.17839,47.885063,38.471717,52.679613,57.226228,48.132998,3/2/20 13:40
Donald Trump,Voters,3/1/20,44.032557,48.636477,39.428638,52.464612,57.121457,47.807766,3/2/20 9:48
Donald Trump,Adults,3/1/20,41.424187,45.242707,37.605668,53.557556,58.005168,49.109945,3/2/20 9:45
Donald Trump,All polls,3/1/20,43.324429,48.082603,38.566254,52.427441,56.952725,47.902157,3/2/20 9:43
Donald Trump,Adults,2/29/20,41.424187,45.242707,37.605668,53.557556,58.005184,49.109929,2/29/20 16:50
Donald Trump,Voters,2/29/20,44.032557,48.636479,39.428635,52.464612,57.121458,47.807765,2/29/20 16:51
Donald Trump,All polls,2/29/20,43.324429,48.082606,38.566251,52.427441,56.952727,47.902156,2/29/20 16:49
Donald Trump,Adults,2/28/20,41.526025,45.336391,37.71566,53.488407,57.913021,49.063794,2/28/20 18:07
Donald Trump,Voters,2/28/20,44.17519,48.787708,39.562673,52.292412,56.96039,47.624434,2/28/20 18:08
Donald Trump,All polls,2/28/20,43.452523,48.17846,38.726587,52.330694,56.886493,47.774895,2/28/20 18:06
